case,source,feature,value,unit
120 fs,paper_pycap_digitized,peak_rho_1e16_cm3,5.95945945945946,1e16 cm^-3
120 fs,paper_pycap_digitized,x_peak_cm,-9.040139616055846,cm
120 fs,paper_pycap_digitized,area_1e16_cm3_cm,59.17433139946229,cm
120 fs,paper_pycap_digitized,absolute_0.1_rising_cm,,cm
120 fs,paper_pycap_digitized,absolute_0.2_rising_cm,-14.843513670738801,cm
120 fs,paper_pycap_digitized,absolute_0.5_rising_cm,-14.376575528407988,cm
120 fs,paper_pycap_digitized,absolute_1_rising_cm,-14.087001486652445,cm
120 fs,paper_pycap_digitized,absolute_2_rising_cm,-13.784176847004073,cm
120 fs,paper_pycap_digitized,relative_0.05_rising_cm,-14.600349040139616,cm
120 fs,paper_pycap_digitized,relative_0.05_falling_cm,0.7085514834205934,cm
120 fs,paper_pycap_digitized,relative_0.1_rising_cm,-14.298080279232112,cm
120 fs,paper_pycap_digitized,relative_0.1_falling_cm,-0.4118673647469458,cm
120 fs,paper_pycap_digitized,relative_0.25_rising_cm,-13.91864679822795,cm
120 fs,paper_pycap_digitized,relative_0.25_falling_cm,-1.8382780686445606,cm
120 fs,paper_pycap_digitized,relative_0.5_rising_cm,-13.566026759744037,cm
120 fs,paper_pycap_digitized,relative_0.5_falling_cm,-3.6649214659685865,cm
120 fs,paper_pycap_digitized,relative_0.75_rising_cm,-13.285963600099725,cm
120 fs,paper_pycap_digitized,relative_0.75_falling_cm,-5.631180919139035,cm
120 fs,paper_pycap_digitized,relative_0.9_rising_cm,-13.075043630017452,cm
120 fs,paper_pycap_digitized,relative_0.9_falling_cm,-7.373123909249563,cm
120 fs,paper_pycap_digitized,rise_10_90_cm,1.2230366492146594,cm
120 fs,paper_pycap_digitized,fwhm_cm,9.901105293775451,cm
120 fs,paper_pycap_digitized,post_peak_decay_to_10pct_cm,8.6282722513089,cm
120 fs,current_ft90_npz,peak_rho_1e16_cm3,5.909826093018797,1e16 cm^-3
120 fs,current_ft90_npz,x_peak_cm,-14.919997453689572,cm
120 fs,current_ft90_npz,area_1e16_cm3_cm,69.32533409820098,cm
120 fs,current_ft90_npz,absolute_0.1_rising_cm,-17.629418668409656,cm
120 fs,current_ft90_npz,absolute_0.2_rising_cm,-17.376065812607653,cm
120 fs,current_ft90_npz,absolute_0.5_rising_cm,-16.880649499588035,cm
120 fs,current_ft90_npz,absolute_1_rising_cm,-16.5553198720171,cm
120 fs,current_ft90_npz,absolute_2_rising_cm,-16.255245474919132,cm
120 fs,current_ft90_npz,relative_0.05_rising_cm,-17.213878601041763,cm
120 fs,current_ft90_npz,relative_0.05_falling_cm,2.511143971550315,cm
120 fs,current_ft90_npz,relative_0.1_rising_cm,-16.793636042221582,cm
120 fs,current_ft90_npz,relative_0.1_falling_cm,1.5490430040915752,cm
120 fs,current_ft90_npz,relative_0.25_rising_cm,-16.389501607181423,cm
120 fs,current_ft90_npz,relative_0.25_falling_cm,0.032628378363786854,cm
120 fs,current_ft90_npz,relative_0.5_rising_cm,-16.052830189297676,cm
