case,source,feature,value
120 fs,paper_pycap_digitized,peak_rho_1e16_cm3,6.454641533243944
120 fs,paper_pycap_digitized,x_argmax_cm,-12.184211090182039
120 fs,paper_pycap_digitized,peak_interval_left_cm,-12.253994658854324
120 fs,paper_pycap_digitized,peak_interval_right_cm,-11.835293246820584
120 fs,paper_pycap_digitized,peak_interval_center_cm,-12.044643952837454
120 fs,paper_pycap_digitized,peak_interval_width_cm,0.4187014120337409
120 fs,paper_pycap_digitized,area_1e16_cm3_cm,54.24126482205436
120 fs,paper_pycap_digitized,absolute_0.1_rising_cm,
120 fs,paper_pycap_digitized,absolute_0.2_rising_cm,-14.666516745435668
120 fs,paper_pycap_digitized,absolute_0.5_rising_cm,-14.303917975977946
120 fs,paper_pycap_digitized,absolute_1_rising_cm,-14.027210012757275
120 fs,paper_pycap_digitized,absolute_2_rising_cm,-13.714220481428276
120 fs,paper_pycap_digitized,relative_0.05_rising_cm,-14.492489581181008
120 fs,paper_pycap_digitized,relative_0.05_falling_cm,0.25352630792587244
120 fs,paper_pycap_digitized,relative_0.1_rising_cm,-14.198592330769689
120 fs,paper_pycap_digitized,relative_0.1_falling_cm,-0.8051015842878056
120 fs,paper_pycap_digitized,relative_0.25_rising_cm,-13.824406224000798
120 fs,paper_pycap_digitized,relative_0.25_falling_cm,-2.3699826180763734
120 fs,paper_pycap_digitized,relative_0.5_rising_cm,-13.430880581965864
120 fs,paper_pycap_digitized,relative_0.5_falling_cm,-4.692889215936472
120 fs,paper_pycap_digitized,relative_0.75_rising_cm,-13.064577909793103
120 fs,paper_pycap_digitized,relative_0.75_falling_cm,-7.698272091606559
120 fs,paper_pycap_digitized,relative_0.9_rising_cm,-12.761904592083324
120 fs,paper_pycap_digitized,relative_0.9_falling_cm,-10.41623880014203
120 fs,paper_pycap_digitized,rise_10_90_cm,1.4366877386863646
120 fs,paper_pycap_digitized,fwhm_cm,8.73799136602939
120 fs,paper_pycap_digitized,peak_to_50pct_falling_cm,7.351754736900982
120 fs,paper_pycap_digitized,peak_to_10pct_falling_cm,11.239542368549648
120 fs,paper_pycap_digitized,fall_10_90_width_cm,9.611137215854225
120 fs,paper_pycap_digitized,post_focus_tail_area_1e16_cm3_cm,45.067877608039694
120 fs,current_ft90_npz,peak_rho_1e16_cm3,5.909826093018797
120 fs,current_ft90_npz,x_argmax_cm,-14.919997453689572
120 fs,current_ft90_npz,peak_interval_left_cm,-15.139998197555538
120 fs,current_ft90_npz,peak_interval_right_cm,-14.700002670288082
120 fs,current_ft90_npz,peak_interval_center_cm,-14.92000043392181
120 fs,current_ft90_npz,peak_interval_width_cm,0.43999552726745605
120 fs,current_ft90_npz,area_1e16_cm3_cm,69.32533409820098
120 fs,current_ft90_npz,absolute_0.1_rising_cm,-17.629418668409656
120 fs,current_ft90_npz,absolute_0.2_rising_cm,-17.376065812607653
120 fs,current_ft90_npz,absolute_0.5_rising_cm,-16.880649499588035
120 fs,current_ft90_npz,absolute_1_rising_cm,-16.5553198720171
120 fs,current_ft90_npz,absolute_2_rising_cm,-16.255245474919132
120 fs,current_ft90_npz,relative_0.05_rising_cm,-17.213878601041763
120 fs,current_ft90_npz,relative_0.05_falling_cm,2.511143971550315
120 fs,current_ft90_npz,relative_0.1_rising_cm,-16.793636042221582
120 fs,current_ft90_npz,relative_0.1_falling_cm,1.5490430040915752
120 fs,current_ft90_npz,relative_0.25_rising_cm,-16.389501607181423
120 fs,current_ft90_npz,relative_0.25_falling_cm,0.032628378363786854
120 fs,current_ft90_npz,relative_0.5_rising_cm,-16.052830189297676
120 fs,current_ft90_npz,relative_0.5_falling_cm,-2.329186714141164
120 fs,current_ft90_npz,relative_0.75_rising_cm,-15.746937613895073
120 fs,current_ft90_npz,relative_0.75_falling_cm,-11.810194018300257
120 fs,current_ft90_npz,relative_0.9_rising_cm,-15.488549398016733
120 fs,current_ft90_npz,relative_0.9_falling_cm,-13.809277452593976
120 fs,current_ft90_npz,rise_10_90_cm,1.3050866442048488
120 fs,current_ft90_npz,fwhm_cm,13.723643475156512
120 fs,current_ft90_npz,peak_to_50pct_falling_cm,12.590813719780646
120 fs,current_ft90_npz,peak_to_10pct_falling_cm,16.469043438013387
120 fs,current_ft90_npz,fall_10_90_width_cm,15.35832045668555
120 fs,current_ft90_npz,post_focus_tail_area_1e16_cm3_cm,62.25142176912205
40 fs,paper_pycap_digitized,peak_rho_1e16_cm3,3.506207114125715
40 fs,paper_pycap_digitized,x_argmax_cm,-8.066980538516873
40 fs,paper_pycap_digitized,peak_interval_left_cm,-8.136764107189158
40 fs,paper_pycap_digitized,peak_interval_right_cm,-8.066980538516873
40 fs,paper_pycap_digitized,peak_interval_center_cm,-8.101872322853016
40 fs,paper_pycap_digitized,peak_interval_width_cm,0.06978356867228541
40 fs,paper_pycap_digitized,area_1e16_cm3_cm,30.074548472173987
