case,final,metric,peak
production,1.909271876861952e+17,IR_max_z,4.6789057613031014e+17
production,4.391325546748703e-06,delta_n_rot_max_z,1.0761483281385154e-05
production,4.391325546748703e-06,delta_n_rot_applied_max_z,1.0761483281385154e-05
production,0.0017249351367354393,dphi_rot_max_abs_z,0.008454331196844578
production,0.0017249351367354393,dphi_rot_applied_max_abs_z,0.008454331196844578
production,0.003622152144089341,alpha_R_applied_max_z,0.017791403457522392
raman_off,1.3136290618802176e+16,IR_max_z,3.6773022080067174e+17
raman_off,3.0213467994144594e-07,delta_n_rot_max_z,8.457795047434047e-06
raman_off,0.0,delta_n_rot_applied_max_z,0.0
raman_off,0.00011868004366988316,dphi_rot_max_abs_z,0.00664452975615859
raman_off,0.0,dphi_rot_applied_max_abs_z,0.0
raman_off,0.000873601296916604,alpha_R_applied_max_z,0.018092110753059387
historical_fr_mixture,1.408356820451328e+16,IR_max_z,3.585319470408663e+17
historical_fr_mixture,6.47305098411266e-10,delta_n_rot_max_z,1.5644795681168944e-08
historical_fr_mixture,6.47305098411266e-10,delta_n_rot_applied_max_z,1.5644795681168944e-08
historical_fr_mixture,2.5426473371226166e-07,dphi_rot_max_abs_z,1.229071040143026e-05
historical_fr_mixture,2.5426473371226166e-07,dphi_rot_applied_max_abs_z,1.229071040143026e-05
historical_fr_mixture,0.0008061047410592437,alpha_R_applied_max_z,0.017237713560461998
