z_m,x_focus_cm,IR_max_z,delta_n_rot_max_z,delta_n_rot_applied_max_z,dphi_rot_max_abs_z,dphi_rot_applied_max_abs_z,alpha_R_raw_max_z,alpha_R_applied_max_z
9.999999747378752e-05,-94.99000000025262,1281283367895040.0,5.956614368418656e-11,5.956614368418656e-11,4.679576903754423e-08,4.679576903754423e-08,0.00010958044731523842,0.00010958044731523842
0.00019999999494757503,-94.98000000050524,1281664680460288.0,5.958392806926227e-11,5.958392806926227e-11,4.6809741860442955e-08,4.6809741860442955e-08,0.0001096035266527906,0.0001096035266527906
0.0003000000142492354,-94.96999999857508,1282120752300032.0,5.960526516801679e-11,5.960526516801679e-11,4.6826503563579536e-08,4.6826503563579536e-08,0.0001096266569220461,0.0001096266569220461
0.00039999998989515007,-94.96000000101048,1282629169053696.0,5.962895455180472e-11,5.962895455180472e-11,4.684511267782909e-08,4.684511267782909e-08,0.0001096497944672592,0.0001096497944672592
0.0005000000237487257,-94.94999999762513,1283161208127488.0,5.965384436423804e-11,5.965384436423804e-11,4.686467036663089e-08,4.686467036663089e-08,0.00010967292473651469,0.00010967292473651469
0.0006000000284984708,-94.93999999715015,1283689220669440.0,5.967850519317253e-11,5.967850519317253e-11,4.688403976160771e-08,4.688403976160771e-08,0.0001096960695576854,0.0001096960695576854
0.000699999975040555,-94.93000000249594,1284192402931712.0,5.97019100823104e-11,5.97019100823104e-11,4.690242860760918e-08,4.690242860760918e-08,0.00010971918527502567,0.00010971918527502567
0.0007999999797903001,-94.92000000202097,1284672365527040.0,5.972433658740783e-11,5.972433658740783e-11,4.692004651474235e-08,4.692004651474235e-08,0.00010974235920002684,0.00010974235920002684
0.0008999999845400453,-94.910000001546,1285180245409792.0,5.974799821562016e-11,5.974799821562016e-11,4.6938637865423516e-08,4.6938637865423516e-08,0.00010976551857311279,0.00010976551857311279
0.0010000000474974513,-94.89999999525025,1285696715227136.0,5.977216638308747e-11,5.977216638308747e-11,4.6957623567323026e-08,4.6957623567323026e-08,0.00010978869249811396,0.00010978869249811396
0.0010999999940395355,-94.89000000059605,1286168087887872.0,5.979417655455066e-11,5.979417655455066e-11,4.697491462479775e-08,4.697491462479775e-08,0.00010981184459524229,0.00010981184459524229
0.0012000000569969416,-94.8799999943003,1286585370804224.0,5.981368872420845e-11,5.981368872420845e-11,4.699024458432177e-08,4.699024458432177e-08,0.000109835084003862,0.000109835084003862
