comparison,channel,region,z_start_m,z_end_m,left_energy_J,right_energy_J,left_minus_right_J,absolute_difference_J,share_of_full_signed_difference,absolute_share_of_full_signed_difference
coarse_to_candidate,ion,pre_focus,0.0,0.75,2.9508178127451094e-10,2.8560975981040273e-10,9.472021464108208e-12,9.472021464108208e-12,1.2488775123949673e-05,1.2488775123949673e-05
coarse_to_candidate,ion,focus,0.75,1.05,6.622087552611168e-05,6.555778603898162e-05,6.630894871300578e-07,6.630894871300578e-07,0.8742775259960929,0.8742775259960929
coarse_to_candidate,ion,post_focus,1.05,1.3,8.246349308718108e-07,7.292910987888339e-07,9.534383208297687e-08,9.534383208297687e-08,0.12570998522879967,0.12570998522879967
coarse_to_candidate,raman,pre_focus,0.0,0.75,4.675239295205926e-06,4.64600599217815e-06,2.9233303027775767e-08,2.9233303027775767e-08,0.06075598380231207,0.06075598380231207
coarse_to_candidate,raman,focus,0.75,1.05,2.7148165362645287e-05,2.695198726643014e-05,1.9617809621514645e-07,1.9617809621514645e-07,0.4077196895845512,0.4077196895845512
coarse_to_candidate,raman,post_focus,1.05,1.3,8.221568552625323e-06,7.965820711275662e-06,2.557478413496613e-07,2.557478413496613e-07,0.5315243266131372,0.5315243266131372
coarse_to_candidate,total,pre_focus,0.0,0.75,4.6755343769872005e-06,4.646291601937961e-06,2.9242775049239213e-08,2.9242775049239213e-08,0.023590454273568498,0.023590454273568498
coarse_to_candidate,total,focus,0.75,1.05,9.336904088875696e-05,9.250977330541175e-05,8.59267583345211e-07,8.59267583345211e-07,0.6931801991956393,0.6931801991956393
coarse_to_candidate,total,post_focus,1.05,1.3,9.046203483497135e-06,8.695111810064497e-06,3.5109167343263784e-07,3.5109167343263784e-07,0.2832293465308028,0.2832293465308028
candidate_to_fine,ion,pre_focus,0.0,0.75,2.8560975981040273e-10,2.6775738204308987e-10,1.7852377767312864e-11,1.7852377767312864e-11,1.2399517788265273e-05,1.2399517788265273e-05
candidate_to_fine,ion,focus,0.75,1.05,6.555778603898162e-05,6.42732569595834e-05,1.2845290793982227e-06,1.2845290793982227e-06,0.8921803793949005,0.8921803793949005
candidate_to_fine,ion,post_focus,1.05,1.3,7.292910987888339e-07,5.740741565044997e-07,1.552169422843342e-07,1.552169422843342e-07,0.10780722108730274,0.10780722108730274
candidate_to_fine,raman,pre_focus,0.0,0.75,4.64600599217815e-06,4.589063821456707e-06,5.694217072144307e-08,5.694217072144307e-08,0.06223163767841137,0.06223163767841137
candidate_to_fine,raman,focus,0.75,1.05,2.695198726643014e-05,2.6569747321837086e-05,3.8223994459305475e-07,3.8223994459305475e-07,0.4177469428500948,0.4177469428500948
candidate_to_fine,raman,post_focus,1.05,1.3,7.965820711275662e-06,7.489999255324709e-06,4.7582145595095306e-07,4.7582145595095306e-07,0.52002141947151,0.52002141947151
candidate_to_fine,total,pre_focus,0.0,0.75,4.646291601937961e-06,4.589331578838751e-06,5.696002309921041e-08,5.696002309921041e-08,0.024189234997399656,0.024189234997399656
candidate_to_fine,total,focus,0.75,1.05,9.250977330541175e-05,9.084300428142048e-05,1.6667690239912639e-06,1.6667690239912639e-06,0.7078274448289337,0.7078274448289337
candidate_to_fine,total,post_focus,1.05,1.3,8.695111810064497e-06,8.064073411829209e-06,6.310383982352881e-07,6.310383982352881e-07,0.2679833201736825,0.2679833201736825
