z_m,x_focus_cm,rho_max_z,I_onaxis_max_z,I_max_z,delta_n_plasma_min_z,E_dep_z,E_loss_from_input_z,E_dep_cumulative_z,U_rel_change_z,dphi_plasma_raw_max_abs_z,dphi_plasma_applied_max_abs_z,alpha_ion_raw_max_z,alpha_ion_applied_max_z,rho_N2_max_z,rho_O2_max_z,rho_O2_fraction_at_rho_total_max_z,dz_used_z,adaptive_rejection_count_z,safety_mode_trigger_count_z
9.999999747378752e-05,-94.99000000025262,14354.47265625,1530466498772992.0,1530547432062976.0,-4.1202074917644085e-24,2.8961119091798814e-23,2.3283064365386963e-09,1.2111303626660685e-10,-1.0722047818489955e-06,3.2368770884195136e-21,3.2368770884195136e-21,3.975724632576818e-16,3.975724632576818e-16,0.009207194671034813,14354.462890625,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.00019999999494757503,-94.98000000050524,14388.2822265625,1530789426626560.0,1531051419631616.0,-4.12991245305089e-24,2.9002953963324494e-23,4.6566128730773926e-09,2.4224244832282693e-10,-2.144409563697991e-06,3.2445014480011364e-21,3.2445014480011364e-21,3.98390326507815e-16,3.98390326507815e-16,0.009234336204826832,14388.2734375,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0003000000142492354,-94.96999999857508,14428.802734375,1531112354480128.0,1531632850829312.0,-4.1415434182374686e-24,2.904484878827897e-23,6.984919309616089e-09,3.634134382313192e-10,-3.2166142318601487e-06,3.2536388049336497e-21,3.2536388049336497e-21,3.9937796692431353e-16,3.9937796692431353e-16,0.009266873821616173,14428.79296875,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.00039999998989515007,-94.96000000101048,14474.11328125,1531435416551424.0,1532259110748160.0,-4.154548973551395e-24,2.908681303299311e-23,9.313225746154785e-09,4.846056333995818e-10,-4.288819127395982e-06,3.26385618186517e-21,3.26385618186517e-21,4.004738157998238e-16,4.004738157998238e-16,0.009303290396928787,14474.103515625,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0005000000237487257,-94.94999999762513,14521.5810546875,1531758075969536.0,1532896644956160.0,-4.1681737846759195e-24,2.9128849852910526e-23,1.1641532182693481e-08,6.058162860256289e-10,-5.36102379555814e-06,3.2745598505239923e-21,3.2745598505239923e-21,4.016254100311752e-16,4.016254100311752e-16,0.009341475553810596,14521.572265625,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0006000000284984708,-94.93999999715015,14568.9169921875,1532080466952192.0,1533515657117696.0,-4.1817607304769936e-24,2.917095293714398e-23,1.3969838619232178e-08,7.270657409463865e-10,-6.4332284637202974e-06,3.2852338327692292e-21,3.2852338327692292e-21,4.0276975154291577e-16,4.0276975154291577e-16,0.009379581548273563,14568.9072265625,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.000699999975040555,-94.93000000249594,14614.0771484375,1532402455281664.0,1534095343484928.0,-4.194722898441133e-24,2.92131254411371e-23,1.6763806343078613e-08,8.483327373909333e-10,-7.719873792666476e-06,3.295417282370938e-21,3.295417282370938e-21,4.0386454162724195e-16,4.0386454162724195e-16,0.00941596832126379,14614.068359375,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0007999999797903001,-94.92000000202097,14657.2412109375,1532724175175680.0,1534676372029440.0,-4.207112353388081e-24,2.925537052033349e-23,1.885928213596344e-08,9.696210501175528e-10,-8.684858585183974e-06,3.305150589007466e-21,3.305150589007466e-21,4.049086420836309e-16,4.049086420836309e-16,0.009450774639844894,14657.232421875,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0008999999845400453,-94.910000001546,14702.884765625,1533045895069696.0,1535305584738304.0,-4.220213755301992e-24,2.929768501928955e-23,2.1187588572502136e-08,1.0909307901485477e-09,-9.757062798598781e-06,3.3154430907407123e-21,3.3154430907407123e-21,4.0600814378872617e-16,4.0600814378872617e-16,0.00948760099709034,14702.875,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0010000000474974513,-94.89999999525025,14749.6787109375,1533366943875072.0,1535896948047872.0,-4.2336452955047374e-24,2.9340075248892504e-23,2.3050233721733093e-08,1.2122727266472566e-09,-1.0614827260724269e-05,3.3259948942089486e-21,3.3259948942089486e-21,4.07144359078129e-16,4.07144359078129e-16,0.009525385685265064,14749.669921875,0.9999993443489075,9.999999747378752e-05,0.0,0.0
