case,dtype,relative_linf_error,threshold,pre_response_abs_max,pre_response_relative,wraparound_detected
40fs_gaussian,float64,4.1517865134219774e-16,1e-10,0.08808259727268705,0.0,False
120fs_gaussian,float64,6.629230999364578e-16,1e-10,0.44873817178317915,0.0,False
120fs_chirped,float64,9.261275390820658e-16,1e-10,0.4133259188504613,0.0,False
120fs_asymmetric_tail,float64,7.769336707413635e-16,1e-10,0.4495268439351596,0.0,False
impulse,float64,3.900130735629797e-16,1e-10,0.0018902470963475066,1.887285964390372e-16,False
constant,float64,7.210115075916897e-16,1e-10,0.0,0.0,False
40fs_gaussian,float32,2.2289734147307172e-07,1e-05,0.08808259665966034,0.0,False
120fs_gaussian,float32,2.1354246371174668e-07,1e-05,0.4487382173538208,0.0,False
120fs_chirped,float32,3.5515066088009917e-07,1e-05,0.4133259057998657,0.0,False
120fs_asymmetric_tail,float32,2.780753902698052e-07,1e-05,0.4495268166065216,0.0,False
impulse,float32,1.570400058881205e-07,1e-05,738050.0,7.368938378375893e-08,False
constant,float32,3.31791511598567e-07,1e-05,0.0,0.0,False
