pulse_fs,dt_fs,iir_sampling,iir_vs_direct_error,iir_vs_eq11_error,peak_time_shift_samples
40,2.5,legacy_right_hold,0.029592271382803393,0.10147187184087256,-1
40,2.5,left_hold,0.028683451672382232,4.5634065579792535e-15,0
40,2.5,trapezoidal,0.031094357880996012,4.5634065579792535e-15,0
40,2.5,exact_piecewise_linear,0.030720137529573394,4.8100771827348884e-15,0
40,1.25,legacy_right_hold,0.014964375474319742,0.05049434746181813,-1
40,1.25,left_hold,0.014735452518525127,6.906777493157789e-15,0
40,1.25,trapezoidal,0.015793257156367164,6.906777493157789e-15,0
40,1.25,exact_piecewise_linear,0.01570298279658786,6.4134362436465184e-15,0
40,0.625,legacy_right_hold,0.007524538618720692,0.025183679228554766,-1
40,0.625,left_hold,0.007467093335050113,1.739027904527229e-14,0
40,0.625,trapezoidal,0.007964640806889637,1.739027904527229e-14,0
40,0.625,exact_piecewise_linear,0.007941985834167128,1.689693779576102e-14,0
40,0.3125,legacy_right_hold,0.0037728687388285083,0.012575574416927308,0
40,0.3125,left_hold,0.003758480708261768,7.40011874266906e-16,1
40,0.3125,trapezoidal,0.00399994338338702,7.40011874266906e-16,1
40,0.3125,exact_piecewise_linear,0.003994328646604356,1.6033590609116296e-15,1
40,0.15625,legacy_right_hold,0.001889089585731388,0.006283671687127953,-1
40,0.15625,left_hold,0.0018854892386849353,6.179099150128665e-14,0
40,0.15625,trapezoidal,0.002004479265709457,6.179099150128665e-14,0
40,0.15625,exact_piecewise_linear,0.0020030817152391876,5.4514208070995404e-14,0
120,2.5,legacy_right_hold,0.013406716812025366,0.01404824438856318,-1
120,2.5,left_hold,0.012943295620239145,1.7146909676640195e-15,0
120,2.5,trapezoidal,0.012943295620239145,1.7146909676640195e-15,0
120,2.5,exact_piecewise_linear,0.01294329562023901,2.0957334049226905e-15,0
120,1.25,legacy_right_hold,0.006681724449426243,0.007108367654173595,0
120,1.25,left_hold,0.006564840242584001,3.81042437258671e-16,1
120,1.25,trapezoidal,0.006564840242584001,3.81042437258671e-16,0
120,1.25,exact_piecewise_linear,0.0065648402425841365,2.4767758421813613e-15,0
120,0.625,legacy_right_hold,0.0033353685012867855,0.003575295249808401,0
120,0.625,left_hold,0.0033059848322791238,5.334594121621394e-15,1
120,0.625,trapezoidal,0.0033059848322791238,5.334594121621394e-15,1
120,0.625,exact_piecewise_linear,0.0033059848322792595,7.811369963802756e-15,1
120,0.3125,legacy_right_hold,0.0016662647639937261,0.0017929314426727641,-1
120,0.3125,left_hold,0.001658908898930753,1.0478667024613453e-14,0
120,0.3125,trapezoidal,0.001658908898930753,1.0478667024613453e-14,0
120,0.3125,exact_piecewise_linear,0.001658908898930345,1.143127311776013e-15,0
120,0.15625,legacy_right_hold,0.0008327839051244082,0.0008977874023408354,0
120,0.15625,left_hold,0.0008309460463290803,3.048339498069368e-15,1
120,0.15625,trapezoidal,0.0008309460463290803,3.048339498069368e-15,0
120,0.15625,exact_piecewise_linear,0.0008309460463292844,1.524169749034684e-15,0
200,2.5,legacy_right_hold,0.012515374930262451,0.0003522110387085981,0
200,2.5,left_hold,0.012515886659261373,1.6113826833607988e-15,1
200,2.5,trapezoidal,0.011412315192164426,1.6113826833607988e-15,1
200,2.5,exact_piecewise_linear,0.011412315192164306,1.6113826833607988e-15,1
200,1.25,legacy_right_hold,0.006257929389595694,0.00015509179359628864,-1
200,1.25,left_hold,0.006258147001236052,2.0142283542009986e-15,0
200,1.25,trapezoidal,0.005756404873328185,2.0142283542009986e-15,0
200,1.25,exact_piecewise_linear,0.0057564048733283035,2.6856378056013313e-15,0
200,0.625,legacy_right_hold,0.00312911428195806,7.219962397914307e-05,-1
200,0.625,left_hold,0.003129156141434473,7.78834963624386e-15,0
200,0.625,trapezoidal,0.002890940037251588,7.78834963624386e-15,0
200,0.625,exact_piecewise_linear,0.0028909400372517063,3.625611037561797e-15,0
200,0.3125,legacy_right_hold,0.0015646204953230298,3.4751569571475894e-05,-1
200,0.3125,left_hold,0.0015646166628882176,1.2353933905766124e-14,0
200,0.3125,trapezoidal,0.0014486675199390704,1.2353933905766124e-14,0
200,0.3125,exact_piecewise_linear,0.001448667519938714,1.3428189028006656e-14,0
200,0.15625,legacy_right_hold,0.0007823209575478526,1.7037260635103523e-05,0
200,0.15625,left_hold,0.0007823201771752234,3.2764781228336245e-14,1
200,0.15625,trapezoidal,0.000725137072250195,3.2764781228336245e-14,1
200,0.15625,exact_piecewise_linear,0.0007251370722503732,3.4644727692257174e-14,1
500,2.5,legacy_right_hold,0.01182092122748685,9.697346756626588e-05,0
500,2.5,left_hold,0.011607287694359694,1.810686171813613e-16,1
500,2.5,trapezoidal,0.011412315192164362,1.810686171813613e-16,1
500,2.5,exact_piecewise_linear,0.011412315192164244,9.053430859068065e-16,1
500,1.25,legacy_right_hold,0.0058588952299886456,4.8961907246793914e-05,-1
500,1.25,left_hold,0.005802210335969821,1.2674803202695291e-15,0
500,1.25,trapezoidal,0.005756404873328126,1.2674803202695291e-15,0
500,1.25,exact_piecewise_linear,0.005756404873328244,6.3374016013476455e-15,0
500,0.625,legacy_right_hold,0.002916634778602366,2.4599659756699308e-05,-1
500,0.625,left_hold,0.0029009949971918717,3.440303726445865e-15,0
500,0.625,trapezoidal,0.0028909400372515285,3.440303726445865e-15,0
500,0.625,exact_piecewise_linear,0.0028909400372516473,6.3374016013476455e-15,0
500,0.3125,legacy_right_hold,0.0014550911413955916,1.2329493182824705e-05,-1
500,0.3125,left_hold,0.001450465487086782,5.43205851544084e-16,0
500,0.3125,trapezoidal,0.001448667519938892,5.43205851544084e-16,0
500,0.3125,exact_piecewise_linear,0.0014486675199385356,5.43205851544084e-16,0
500,0.15625,legacy_right_hold,0.0007267409062800818,6.17216061985925e-06,0
500,0.15625,left_hold,0.000725226599050209,1.4485489374508905e-15,1
500,0.15625,trapezoidal,0.0007251370722501355,1.4485489374508905e-15,1
500,0.15625,exact_piecewise_linear,0.0007251370722503136,2.2995714382032887e-14,1
1000,2.5,legacy_right_hold,0.01182092122748697,4.532121714181594e-08,0
1000,2.5,left_hold,0.011617741227173595,3.617778185138023e-16,1
1000,2.5,trapezoidal,0.011412315192164364,3.617778185138023e-16,1
1000,2.5,exact_piecewise_linear,0.011412315192164246,9.044445462845057e-16,1
1000,1.25,legacy_right_hold,0.005858895229988764,2.2142012097180902e-08,-1
1000,1.25,left_hold,0.005807762850047474,1.0853334555414069e-15,0
1000,1.25,trapezoidal,0.005756404873328007,1.0853334555414069e-15,0
1000,1.25,exact_piecewise_linear,0.005756404873328126,6.6928896425053424e-15,0
1000,0.625,legacy_right_hold,0.002916634778602544,1.0938298076092034e-08,-1
1000,0.625,left_hold,0.002903782965802828,3.4368892758811216e-15,0
1000,0.625,trapezoidal,0.0028909400372514097,3.4368892758811216e-15,0
1000,0.625,exact_piecewise_linear,0.0028909400372515285,5.969334005477738e-15,0
1000,0.3125,legacy_right_hold,0.0014550911413955326,5.435591070267405e-09,-1
1000,0.3125,left_hold,0.0014518801783224371,1.0853334555414069e-15,0
1000,0.3125,trapezoidal,0.001448667519939011,1.0853334555414069e-15,0
1000,0.3125,exact_piecewise_linear,0.0014486675199386547,1.0853334555414069e-15,0
1000,0.15625,legacy_right_hold,0.0007267409062800224,2.709359328628234e-09,0
1000,0.15625,left_hold,0.0007259412142043303,2.7133336388535173e-15,1
1000,0.15625,trapezoidal,0.0007251370722501948,2.7133336388535173e-15,1
1000,0.15625,exact_piecewise_linear,0.0007251370722503729,2.6048002932993763e-14,1
