checkpoint_label,checkpoint_index,z_m,halfstep,U_input_J,U_output_J,absolute_delta_J,relative_delta,U_after_forward_fft_J,U_after_transfer_J,U_after_inverse_fft_J,U_after_mask_J,U_after_filter_J,U_after_crop_J,replay_status,replay_reason
early,0,9.999999747378752e-05,linear_halfstep_1,0.0021715129259973764,0.002171511761844158,-1.1641532182693481e-09,-5.361023663880113e-07,,,,,,,inconclusive_missing_field_checkpoint,archive stores scalar checkpoint energies but no complex field checkpoint
early,0,9.999999747378752e-05,linear_halfstep_2,0.002171511761844158,0.00217151059769094,-1.1641532182693481e-09,-5.361026537939127e-07,,,,,,,inconclusive_missing_field_checkpoint,archive stores scalar checkpoint energies but no complex field checkpoint
pre_rise_10pct_peak,7411,0.7411999702453613,linear_halfstep_1,0.0021506694611161947,0.0021506682969629765,-1.1641532182693481e-09,-5.412980652383254e-07,,,,,,,inconclusive_missing_field_checkpoint,archive stores scalar checkpoint energies but no complex field checkpoint
pre_rise_10pct_peak,7411,0.7411999702453613,linear_halfstep_2,0.0021506650373339653,0.0021506641060113907,-9.313225746154785e-10,-4.3303934292342263e-07,,,,,,,inconclusive_missing_field_checkpoint,archive stores scalar checkpoint energies but no complex field checkpoint
near_focus_window,8499,0.8500000238418579,linear_halfstep_1,0.0021019724663347006,0.0021019717678427696,-6.984919309616089e-10,-3.3230308300831325e-07,,,,,,,inconclusive_missing_field_checkpoint,archive stores scalar checkpoint energies but no complex field checkpoint
near_focus_window,8499,0.8500000238418579,linear_halfstep_2,0.0021018912084400654,0.0021018902771174908,-9.313225746154785e-10,-4.430879062036073e-07,,,,,,,inconclusive_missing_field_checkpoint,archive stores scalar checkpoint energies but no complex field checkpoint
intensity_peak,8348,0.8349000215530396,linear_halfstep_1,0.002114958828315139,0.002114957896992564,-9.313225746154785e-10,-4.403502149294355e-07,,,,,,,inconclusive_missing_field_checkpoint,archive stores scalar checkpoint energies but no complex field checkpoint
intensity_peak,8348,0.8349000215530396,linear_halfstep_2,0.002114870585501194,0.0021148696541786194,-9.313225746154785e-10,-4.403685885085817e-07,,,,,,,inconclusive_missing_field_checkpoint,archive stores scalar checkpoint energies but no complex field checkpoint
post_peak,12498,1.0499500036239624,linear_halfstep_1,0.0020480691455304623,0.0020480684470385313,-6.984919309616089e-10,-3.4104899850961586e-07,,,,,,,inconclusive_missing_field_checkpoint,archive stores scalar checkpoint energies but no complex field checkpoint
post_peak,12498,1.0499500036239624,linear_halfstep_2,0.002048067282885313,0.002048065885901451,-1.3969838619232178e-09,-6.82098617363366e-07,,,,,,,inconclusive_missing_field_checkpoint,archive stores scalar checkpoint energies but no complex field checkpoint
final,14999,1.2999999523162842,linear_halfstep_1,0.002034692792221904,0.002034691860899329,-9.313225746154785e-10,-4.5772146939119267e-07,,,,,,,inconclusive_missing_field_checkpoint,archive stores scalar checkpoint energies but no complex field checkpoint
final,14999,1.2999999523162842,linear_halfstep_2,0.002034690696746111,0.0020346897654235363,-9.313225746154785e-10,-4.577219407868011e-07,,,,,,,inconclusive_missing_field_checkpoint,archive stores scalar checkpoint energies but no complex field checkpoint
