case,full_steps,halfsteps,candidate,relative_l2,phase_rms_rad,relative_energy_error,temporal_centroid_s,temporal_width_s,spectral_centroid_rad_s,spectral_width_rad_s
tl_gaussian,0.5,1,baseline_complex64,1.0444880230666249e-07,2.24710600800814e-08,6.377433057232083e-08,-7.195443350720272e-16,2.073238820267836e-14,-430977533.02277374,10442326356760.047
tl_gaussian,0.5,1,orthonormal_fft,1.6092772985654472e-07,3.6130488734554155e-08,1.9690907980017297e-07,-7.195443647855176e-16,2.0732388421729053e-14,-430954623.9842193,10442324824431.625
tl_gaussian,0.5,1,mixed_precision,2.4269522273000583e-08,1.0929317969001865e-10,7.679914128980811e-08,-7.195443274565509e-16,2.0732388253916124e-14,-430950113.16026735,10442324439449.982
tl_gaussian,0.5,1,unitary_projection,1.0444880230666249e-07,2.24710600800814e-08,6.377433057232083e-08,-7.195443350720272e-16,2.073238820267836e-14,-430977533.02277374,10442326356760.047
tl_gaussian,20,40,baseline_complex64,9.756143864881632e-07,5.745876214857215e-07,1.9037267172341045e-07,-7.318810536869235e-16,2.0731989875542395e-14,-430318320.091801,10442326642890.168
tl_gaussian,20,40,orthonormal_fft,2.163480763765823e-06,8.883388373568371e-07,2.8585438495631485e-06,-7.318798800913116e-16,2.0731994341095237e-14,-430545185.5411009,10442323983954.938
tl_gaussian,20,40,mixed_precision,1.489542638194552e-07,9.771750576010704e-08,1.6819842499098468e-08,-7.318809331509473e-16,2.0731988387400136e-14,-430985080.14886445,10442324224822.117
tl_gaussian,20,40,unitary_projection,1.0637226042127346e-06,6.402167089466329e-07,4.841776287241247e-07,-7.318809672279378e-16,2.0731990001448202e-14,-430205388.7535628,10442328148286.121
tl_gaussian,200,400,baseline_complex64,7.347824461398819e-06,4.53964695074414e-06,1.2145608239483009e-06,-8.485261694390985e-16,2.0730381069981468e-14,-426474224.2839702,10442350474619.084
tl_gaussian,200,400,orthonormal_fft,2.174708360450685e-05,1.0902108355310638e-05,3.546667388227111e-05,-8.485115613208493e-16,2.0730419725166882e-14,-424965396.32564783,10442289661929.725
tl_gaussian,200,400,mixed_precision,4.934278263358143e-07,3.466600037888958e-07,9.003978355657774e-09,-8.485287290762506e-16,2.0730363839488352e-14,-430909896.5260733,10442327230783.566
tl_gaussian,200,400,unitary_projection,7.5139980547799025e-06,4.7739635590598674e-06,2.2198505468287367e-06,-8.485262000915929e-16,2.073038006253743e-14,-426037339.8877582,10442349106118.1
