t_fs,I_W_m-2,I_R_continuous_W_m-2,I_R_iir_fp64_W_m-2,I_R_iir_fp32_W_m-2,fp64_error_over_response_peak,fp32_error_over_response_peak,Q_gaussian_dimensionless,p_rot_over_A_gaussian,delta_n_elec,delta_n_rot,rot_over_electronic_peak,rot_over_instantaneous_electronic,eq10_power_density_W_m-3
-480.0,0.027105054312137652,0.00028370907078218127,0.0,0.0,-6.776227792159991e-22,-6.776227792159991e-22,2.417107194721108e-23,1.0388155278281321e-27,2.114194236346737e-25,6.525308627990169e-27,1.6731560584590178e-21,nan,1.0904978899577897e-22
-477.50000000000006,0.04297484550777785,0.00045410211975230324,4.2135748243326215e-05,4.217344394419342e-05,-9.83957956775264e-22,-9.838679227643114e-22,3.868799463356233e-23,1.662718544450536e-27,3.3520379496066725e-25,1.0444348754302976e-26,2.678038142128968e-21,nan,2.752968982419183e-22
-475.0,0.06797248120716816,0.0007251154273731662,0.00019620473892171484,0.0001963002869160846,-1.2632727239823936e-21,-1.2630445130996228e-21,6.177742966324045e-23,2.655047874733961e-27,5.301853534159117e-25,1.6677654829582822e-26,4.276321751175083e-21,nan,6.916620812155559e-22
-472.49999999999994,0.10725231609884302,0.0011551389627030878,0.0005214124470267272,0.0005215973942540586,-1.5136192918737571e-21,-1.5131775560707845e-21,9.841400875744127e-23,4.229601429192709e-27,8.365680655709754e-25,2.656819614217102e-26,6.812357985172056e-21,nan,1.72942930655585e-21
-470.0,0.16882431358627836,0.001835840548340355,0.0011108362077259448,0.0011111596832051873,-1.7316311208392103e-21,-1.7308585182831898e-21,1.5640752639738701e-22,6.722025710967333e-27,1.3168296459729711e-24,4.2224332611828164e-26,1.0826751951750812e-20,nan,4.303560349348463e-21
-467.5,0.2651050878493166,0.0029107807131087777,0.0021103647460642117,0.0021109033841639757,-1.911747448265462e-21,-1.9104609421796765e-21,2.4798886353945043e-22,1.0657975067711347e-26,2.0678196852246692e-24,6.694795640150188e-26,1.7166142667051765e-20,nan,1.065784145841041e-20
-465.00000000000006,0.4152942229250522,0.004604240443109937,0.0037480214079571895,0.0037488939706236124,-2.0450298632266556e-21,-2.0429457975412284e-21,3.922660164014008e-22,1.685866600236062e-26,3.239294938815407e-24,1.0589753019152854e-25,2.71532128696227e-20,nan,2.6267995124623753e-20
-462.5,0.6490056442600927,0.0072657533504516736,0.006379250882423901,0.006380641367286444,-2.1173600988881403e-21,-2.114039005859932e-21,6.190180895530516e-22,2.6603934026534207e-26,5.062244025228723e-24,1.671123270603885e-25,4.284931463086885e-20,nan,6.443190185461137e-20
-459.99999999999994,1.0118026551806878,0.01143872529531236,0.010556685292032169,0.01055887807160616,-2.106701758793222e-21,-2.1014644310439228e-21,9.74541460148279e-22,4.188348797791497e-26,7.892060710409364e-24,2.630906817921843e-25,6.745914917748315e-20,nan,1.5728647008878765e-19
-457.5,1.5736129200912499,0.017965905528378956,0.017137353101918978,0.017140785232186317,-1.978949761444259e-21,-1.9707523159273633e-21,1.5306355694797158e-21,6.578309809735387e-26,1.227418077671175e-23,4.13215827152716e-25,1.059527761930041e-19,nan,3.821186297986236e-19
-455.0,2.441488975502993,0.028151093862407776,0.027447013813249654,0.027452358976006508,-1.6816546555445148e-21,-1.6688880420813813e-21,2.398379837715385e-21,1.0307669525331625e-25,1.9043614008923346e-23,6.474751588353789e-25,1.66019271496251e-19,nan,9.238926840003647e-19
-452.5,3.7789085269990106,0.04400644667229464,0.04353142680552352,0.04353971779346466,-1.1345575995044165e-21,-1.114755052213164e-21,3.7492033149471914e-21,1.6113189473176152e-25,2.9475486510592285e-23,1.0121482734627769e-24,2.5952519832378895e-19,nan,2.2231120597412387e-18
-450.0,5.834891009621451,0.06862974422309703,0.06853958022624722,0.0685523971915245,-2.153515147124146e-22,-1.8473893116559352e-22,5.8470266063814515e-21,2.512913801919369e-25,4.551214987504732e-23,1.5784841171312318e-24,4.0473951721313637e-19,nan,5.323750959576947e-18
-447.5,8.98780981450331,0.10677847055237077,0.10730671623516896,0.10732647031545639,1.2616843962714919e-21,1.3088658795716815e-21,9.097171574454339e-21,3.909749270325705e-25,7.010491655312582e-23,2.455904822704528e-24,6.297191853088533e-19,nan,1.2687927798955842e-17
-445.0,13.811147286162674,0.16574118517981307,0.16723909069242432,0.16726945340633392,3.577661065471835e-21,3.650180659319302e-21,1.4120599318704997e-20,6.068699752557978e-25,1.0772694883206885e-22,3.8120472591357006e-24,9.774480151630001e-19,nan,3.009402634410104e-17
-442.5,21.17192741602689,0.25665681828638176,0.2596532534980838,0.2596997916698456,7.156812964408605e-21,7.26796670793147e-21,2.1866309749769354e-20,9.397622974259943e-25,1.6514103384500974e-22,5.903106820586781e-24,1.51361713348379e-18,nan,7.103731967347874e-17
-440.0,32.37768496578185,0.3965071199776827,0.4017982537636366,0.40186941623687744,1.2637568377200259e-20,1.2807535846905767e-20,3.378109165892753e-20,1.451831455341324e-24,2.5254594273309847e-22,9.119663759486702e-24,2.338375322945308e-18,nan,1.6688202033015648e-16
-437.5,49.39533630918596,0.611118162823332,0.6199013309028529,0.6200098395347595,2.0978091211386254e-20,2.1237257830623186e-20,5.2065240780373205e-20,2.2376409577897426e-24,3.8528362321165044e-22,1.4055717744936636e-23,3.604030191009394e-18,nan,3.9016587714220587e-16
-435.0,75.17628447178294,0.9396705404730544,0.9537435641691554,0.9539086818695068,3.361260675463566e-20,3.400698087422733e-20,8.005681375583085e-20,3.440652587507506e-24,5.863750188799069e-22,2.1612422430880253e-23,5.541646777148783e-18,nan,9.078326850826252e-16
-432.5,114.13807003546208,1.441459535444669,1.463516732299796,1.4637672901153564,5.268234460561417e-20,5.328078752062672e-20,1.2280757201089402e-19,5.2779791073563904e-24,8.902769462766041e-22,3.315356931522739e-23,8.500915209032664e-18,nan,2.102224925138239e-15
-430.0,172.8760971123498,2.2060021472287565,2.2400728141071373,2.2404518127441406,8.137582600450605e-20,8.22810424257407e-20,1.879440670309274e-19,8.077391669732127e-24,1.3484335574763285e-21,5.0738049386261405e-23,1.300975625288754e-17,nan,4.844728283820914e-15
-427.5,261.2126052459826,3.36810985918191,3.4202061367244037,3.420778751373291,1.244289591370009e-19,1.2579661625395206e-19,2.869517901135435e-19,1.2332509536980732e-23,2.0374583209186642e-21,7.746652676118394e-23,1.9863211990047165e-17,nan,1.1111599701817132e-14
-425.0,393.7386692252756,5.130310171934101,5.209381818170912,5.210244655609131,1.8885807398561723e-19,1.9091891152347094e-19,4.370854126568741e-19,1.8784897692860376e-23,3.0711616199571496e-21,1.1799713395448434e-22,3.0255675372944704e-17,nan,2.5363005214114442e-14
-422.5,592.075055654056,7.79611560367376,7.915453456735259,7.916749954223633,2.850315904044126e-19,2.8812820000133683e-19,6.642031946516412e-19,2.8545883018514137e-23,4.6181854341016365e-21,1.793106588844965e-22,4.597709202166577e-17,nan,5.761583193113305e-14
-420.0,888.1784197001263,11.819263410965991,11.998557102179609,12.000500679016113,4.2823265749350556e-19,4.328747788537465e-19,1.006962045597878e-18,4.3276848092843935e-23,6.927791673660984e-21,2.718430584522178e-22,6.970334832108149e-17,nan,1.3025668099092002e-13
