index,t_fs,I_R_mpmath_W_m-2,I_R_scipy_quad_W_m-2,difference_over_response_peak
112,-200.0,10223242408143.969,10223242408143.953,-3.731941279162996e-20
132,-150.0,446521550445997.0,446521550445997.1,2.9855530233303966e-19
140,-130.0,1579812263029126.0,1579812263029124.8,-2.9855530233303968e-18
152,-100.0,8115464926964110.0,8115464926964107.0,-7.165327255992953e-18
158,-85.0,1.6406967000968038e+16,1.6406967000968032e+16,-1.4330654511985905e-17
168,-60.0,4.496439160101243e+16,4.496439160101242e+16,-3.8215078698629076e-17
176,-40.0,8.716767416763006e+16,8.716767416763006e+16,0.0
192,0.0,2.2693486644135293e+17,2.2693486644135286e+17,-1.528603147945163e-16
208,40.0,3.7533196094795776e+17,3.7533196094795776e+17,0.0
220,70.0,4.1868290069945555e+17,4.186829006994556e+17,1.528603147945163e-16
232,100.0,3.79559003507499e+17,3.7955900350749914e+17,3.057206295890326e-16
252,150.0,2.0753363744930627e+17,2.0753363744930624e+17,-7.643015739725815e-17
272,200.0,5.216254309362395e+16,5.216254309362394e+16,-3.8215078698629076e-17
