lag_index,lag_fs,dimensionless_weight,equivalent_kernel_1_s,continuous_kernel_1_s
0,0.0,0.00043554930404081127,174219721616.32452,0.0
1,2.5,0.0025565911953032345,1022636478121.2938,1028249601859.3168
2,5.0,0.0049591981892467924,1983679275698.717,1989145019676.0317
3,7.5,0.007197851974219561,2879140789687.824,2884454375403.2324
4,10.0,0.009277114530307986,3710845812123.1943,3716003153026.9766
5,12.5,0.01120167056625299,4480668226501.195,4485665894956.159
6,15.0,0.012976307750533477,5190523100213.391,5195358294840.951
7,17.5,0.01460589792182854,5842359168731.416,5847029682202.44
8,20.0,0.016095379265535087,6438151706214.035,6442655893539.269
9,22.5,0.017449739441372212,6979895776548.885,6984232523919.06
10,25.0,0.018673999645600146,7469599858240.059,7473768552461.222
11,27.5,0.019773199590015358,7909279836006.144,7913280334571.287
12,30.0,0.02075238337864848,8300953351459.392,8304785953293.355
13,32.5,0.02161658626198424,8646634504793.696,8650299921704.142
14,35.0,0.02237082224753607,8948328899014.428,8951828227877.887
15,37.5,0.023020072544738517,9208029017895.406,9211363713603.627
16,40.0,0.023569274821361997,9427709928544.799,9430881777733.148
17,42.5,0.024023313248002755,9609325299201.102,9612336394777.295
18,45.0,0.024387009306649773,9754803722659.908,9757656439148.26
19,47.5,0.024665113338876516,9866045335550.605,9868742305263.814
20,50.0,0.024862296808842055,9944918723536.822,9947462813584.51
21,52.5,0.024983145256010284,9993258102404.113,9995652392544.566
22,55.0,0.02503215191230137,10012860764920.547,10015108526259.54
23,57.49999999999999,0.02501371195827252,10005484783309.008,10007589457847.186
24,60.0,0.02493211739288097,9972846957152.389,9974812138180.361
25,62.5,0.0247915524914055,9916620996562.201,9918450409900.44
26,65.0,0.024596089826190926,9838435930476.371,9840133416554.969
27,67.5,0.024349686825027025,9739874730010.81,9741444226782.316
28,70.0,0.02405618284217629,9622473136870.516,9623918663547.367
29,72.5,0.023719296717319243,9487718686927.697,9489044328534.145
30,75.0,0.02334262479798765,9337049919195.06,9338259811922.09
31,77.5,0.02292963940140213,9171855760560.852,9172954077911.184
32,80.0,0.02248368769201602,8993475076806.408,8994466016515.496
33,82.5,0.022007990951490274,8803196380596.11,8804084152313.916
34,85.0,0.021505644218279572,8602257687311.829,8603046501029.197
35,87.5,0.0209796162744959,8391846509798.36,8392540565000.864
36,90.0,0.020432749958228313,8173099983291.325,8173703458822.699
37,92.5,0.01986776278003394,7947105112013.576,7947622156630.148
38,95.0,0.01928724782287306,7714899129149.224,7715333852746.133
39,97.5,0.01869367490533621,7477469962134.483,7477826427623.993
40,100.0,0.01808939198860312,7235756795441.248,7236039011262.946
41,102.5,0.017476626808176982,6990650723270.793,6990862636513.238
42,105.0,0.016857488712053025,6742995484821.21,6743140974934.166
43,107.5,0.01623397068760358,6493588275041.432,6493671148117.753
44,110.0,0.015607951560091838,6243180624036.735,6243204607642.689
45,112.5,0.014981198346360336,5992479338544.134,5992448077076.985
46,114.99999999999999,0.014355368747876877,5742147499150.751,5742064549702.356
47,117.5,0.013732013767957773,5492805507183.109,5492674335888.291
48,120.0,0.013112580438624054,5245032175449.622,5244856154298.231
49,122.50000000000001,0.01249841464318003,4999365857272.012,4999148261363.667
50,125.0,0.011890764021232719,4756305608493.088,4756049613713.808
51,127.50000000000001,0.011290780943494502,4516312377397.801,4516021058497.954
52,130.0,0.010699525544328679,4279810217731.4717,4279486546784.7275
53,132.5,0.010117968800606687,4047187520242.675,4046834365465.9253
54,135.0,0.009546995646046151,3818798258418.4604,3818418383333.0503
55,137.5,0.008987408110789318,3594963244315.727,3594559307230.6763
56,140.0,0.008439928476560957,3375971390624.383,3375545944422.619
57,142.5,0.007905202438312742,3162080975325.0967,3161636467534.254
58,145.0,0.007383802263816746,2953520905526.6987,2953059678656.307
59,147.5,0.006876229943213124,2750491977285.2495,2750016269412.7573
60,150.0,0.006382920321046167,2553168128418.467,2552680074006.885
61,152.5,0.005904244203837666,2361697681535.0664,2361199312465.569
62,155.0,0.005440511436746915,2176204574698.766,2175697821502.0708
63,157.5,0.0049919739433521605,1996789577340.8643,1996276270611.702
64,160.0,0.004558828723058431,1823531489223.3723,1823013361202.9033
65,162.5,0.004141220801091565,1656488320436.626,1655967006748.1536
66,165.0,0.0037392461264772942,1495698450590.9177,1495175492114.7832
67,167.5,0.0033529544138275144,1341181765531.0059,1340658610405.1145
68,170.0,0.0029823519251633572,1192940770065.3428,1192418775798.228
69,172.5,0.0026274041883960954,1050961675358.4382,1050442111042.3899
70,175.0,0.0022880386494623923,915215459784.9569,914699508397.1912
71,177.5,0.001964147255470077,785658902188.0308,785147662968.4739
