archived_x_mismatch_cm,calculation_status,crossing_1e19_cm,crossing_1e19_status,crossing_1e20_cm,crossing_1e20_status,crossing_1e21_cm,crossing_1e21_status,crossing_1e22_cm,crossing_1e22_status,data_integrity,data_quality_flags,delta_crossing_1e19_vs_pycap_cm,delta_crossing_1e20_vs_pycap_cm,delta_crossing_1e21_vs_pycap_cm,delta_crossing_1e22_vs_pycap_cm,delta_peak_position_vs_pycap_cm,energy_admission,fall_10_position_cm,fall_50_position_cm,fall_90_10_cm,fall_90_position_cm,fall_status,fwhm_cm,fwhm_status,job_id,left_halfmax_crossing_cm,median_abs_log10_error_vs_pycap,metric_definition_version,peak_density_m3,peak_plateau_width_cm,peak_position_cm,phase,physics_use_status,pycap_comparison_status,result_id,rho_at_peak_plus_10cm_m3,rho_at_peak_plus_5cm_m3,right_halfmax_crossing_cm,rise_10_90_cm,rise_10_position_cm,rise_90_position_cm,rise_status,rmse_linear_vs_pycap,rmse_log_vs_pycap,source_array_key,source_file,tail_integral_after_peak_m3_cm,tail_integral_peak_plus_10cm_m3_cm,tail_integral_peak_plus_5cm_m3_cm,x_source
,calculated,-15.254688111762839,left_censored_at_first_sample,-15.254688111762839,left_censored_at_first_sample,-15.254688111762839,left_censored_at_first_sample,-14.027210012757275,interpolated,digitized_curve_local_csv,[],,,,,,not_applicable_external_reference,-0.8051015842878056,-4.692889215936472,9.797251109048728,-10.602352693336535,90=interpolated;50=interpolated;10=interpolated,8.73799136602939,calculated,,-13.430880581965864,,phase8c.metric_contract.v1,6.4546415332439435e+22,0.0,-12.184211090182039,external_reference,formal_physics_baseline,,pycap_120fs_digitized,1.495573106444401e+22,4.625191261140465e+22,-4.692889215936472,1.4366877386863646,-14.198592330769689,-12.761904592083324,10=interpolated;90=interpolated,,,rho_1e16_cm3,Filament_python/results/density_translation_width/density_translation_width_20260715_002/paper_pycap_120fs.csv,4.596625450633853e+23,2.2982891477756346e+22,1.8328002056584444e+23,x_focus_cm
0.0,calculated,-19.19399851718201,interpolated,-18.327101012541323,interpolated,-17.29790221064008,interpolated,-16.411900580443586,interpolated,local axial diagnostics finite; re-audit passed,[],-3.939310405419171,-3.0724129007784846,-2.0432140988772396,-2.3846905676863113,-2.255790159131312,formal_baseline_gate_passed,0.44572739922281035,-3.6775670157436195,13.540638086102495,-13.094910686879684,90=interpolated;50=interpolated;10=interpolated,12.075501620625838,calculated,175354,-15.753068636369457,0.08773362833412435,phase8c.metric_contract.v1,6.460902306022546e+22,0.0,-14.440001249313351,phase5_phase6_baseline,formal_physics_baseline,calculated_linear_interpolation_on_merged_common_grid,current_120fs_talebpour_legacy_raman_on,3.608635728263922e+22,4.767311137124972e+22,-3.6775670157436195,1.4871528731797223,-16.58479974966866,-15.09764687648894,10=interpolated;90=interpolated,1.5062929359409242e+22,0.3536144171423714,rho_max_z,Filament_python/results/ionization_model_propagation/talebpour_120fs_20260717T114321Z/baseline_axial_diagnostics.csv,6.434090173891565e+23,1.552599721451318e+23,3.731110645382338e+23,derived:100*(z_m-0.95)
0.0,calculated,-19.24839206100622,interpolated,-17.90914718647249,interpolated,-16.044769277185907,interpolated,-14.013635670804236,interpolated,local axial diagnostics finite; re-audit passed,[],-3.9937039492433826,-2.654459074709653,-0.7900811654230679,0.013574341953038527,1.8542123585688834,phase6_reaudit_passed,7.323508083158742,-0.8779145280520076,14.840717502597407,-7.517209419438666,90=interpolated;50=interpolated;10=interpolated,12.841942864692358,calculated,176915,-13.719857392744366,0.3253242915541641,phase8c.metric_contract.v1,2.4977816965526158e+22,0.0,-10.329998731613156,phase6,historical_causality_evidence,calculated_linear_interpolation_on_merged_common_grid,phase6_legacy_raman_phase_off,1.1722154903197094e+22,1.9370812895348298e+22,-0.8779145280520076,3.3039320184714374,-15.314432872573581,-12.010500854102144,10=interpolated;90=interpolated,1.9876269539913365e+22,0.4029443822380828,rho_max_z,Filament_python/results/raman_phase_causality/raman_phase_off_120fs_20260718T201000Z/raman_phase_off_axial_diagnostics.csv,2.480495911877459e+23,5.741027175905945e+22,1.3466249612070803e+23,derived:100*(z_m-0.95)
,missing_or_incomplete,,,,,,,,,missing_complete_curve,"[""no_curve_source""]",,,,,,not_assessed,,,,,,,,,,,phase8c.metric_contract.v1,,,,historical_pre_phase5,missing_or_incomplete,,early_120fs_ppt_or_talebpour_missing,,,,,,,,,,,,,,,
,missing_or_incomplete,,,,,,,,,archive curve absent locally; diagnostic audit failed,"[""no_curve_source""]",,,,,,failed_final_total_energy_contract,,,,,,,,179706,,,phase8c.metric_contract.v1,,,,phase8b_r,invalid_for_physics,,phase8b_full_eq27_job_179706,,,,,,,,,,,,,,,
,missing_or_incomplete,,,,,,,,,diagnostic audit archived; local rho_max_vs_z curve absent,"[""no_curve_source""]",,,,,,failed_final_total_energy_contract_1.41765_percent,,,,,,,,179988,,,phase8c.metric_contract.v1,,,,phase8b_r_replacement,invalid_for_physics,,phase8b_full_eq27_job_179988,,,,,,,,,,,,,,,
,missing_or_incomplete,,,,,,,,,smoke log only,"[""no_curve_source""]",,,,,,not_full_production_admission,,,,,,,,179288,,,phase8c.metric_contract.v1,,,,phase8b_preflight,numerical_diagnostic_only,,phase8b_preflight_eq27_on_job_179288,,,,,,,,,,,,,,,
,missing_or_incomplete,,,,,,,,,smoke metrics only,"[""no_curve_source""]",,,,,,not_full_production_admission,,,,,,,,179311,,,phase8c.metric_contract.v1,,,,phase8b_preflight,numerical_diagnostic_only,,phase8b_preflight_eq27_off_job_179311,,,,,,,,,,,,,,,
,missing_or_incomplete,,,,,,,,,smoke metrics only; step closure did not meet contract,"[""no_curve_source""]",,,,,,not_full_production_admission,,,,,,,,179619,,,phase8c.metric_contract.v1,,,,phase8b_r1,numerical_diagnostic_only,,phase8b_r1_eq27_on_job_179619,,,,,,,,,,,,,,,
,missing_or_incomplete,,,,,,,,,smoke metrics only; gates passed,"[""no_curve_source""]",,,,,,not_full_production_admission,,,,,,,,179623,,,phase8c.metric_contract.v1,,,,phase8b_r1,numerical_diagnostic_only,,phase8b_r1_eq27_on_job_179623,,,,,,,,,,,,,,,
