case,threshold_W_m-2,x_cm
production,1e+16,-56.36688406443704
raman_off,1e+16,-56.354634905798804
historical_fr_mixture,1e+16,-56.351324488886846
raman_off_kerr085,1e+16,-56.35127634828847
production,3e+16,-37.87043414441722
raman_off,3e+16,-37.990863272857595
historical_fr_mixture,3e+16,-38.004275080591064
raman_off_kerr085,3e+16,-38.00430512946067
production,1e+17,-19.91548672096387
raman_off,1e+17,-20.23407850203084
historical_fr_mixture,1e+17,-20.274581464724115
raman_off_kerr085,1e+17,-20.274664410197982
production,3e+17,-17.225172110934626
raman_off,3e+17,-15.92499997759584
historical_fr_mixture,3e+17,-15.643374216707885
raman_off_kerr085,3e+17,-15.642901310372695
production,5e+17,-16.01118173214129
raman_off,5e+17,-12.805166859448638
historical_fr_mixture,5e+17,-11.611481897473324
raman_off_kerr085,5e+17,-11.609898527187175
