z_m,x_focus_cm,rho_max_z,I_onaxis_max_z,I_max_z,delta_n_plasma_min_z,E_dep_z,E_loss_from_input_z,E_dep_cumulative_z,U_rel_change_z,dphi_plasma_raw_max_abs_z,dphi_plasma_applied_max_abs_z,alpha_ion_raw_max_z,alpha_ion_applied_max_z,rho_N2_max_z,rho_O2_max_z,rho_O2_fraction_at_rho_total_max_z,dz_used_z,adaptive_rejection_count_z,safety_mode_trigger_count_z
9.999999747378752e-05,-94.99000000025262,14354.4833984375,1530466767208448.0,1530547700498432.0,-4.1202106472080294e-24,2.896113802446054e-23,1.862645149230957e-09,2.379552284381692e-11,-8.577637800044613e-07,3.236879713748606e-21,3.236879713748606e-21,3.97572648546139e-16,3.97572648546139e-16,0.009207203052937984,14354.4736328125,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.00019999999494757503,-94.98000000050524,14388.322265625,1530789426626560.0,1531051419631616.0,-4.129923891534016e-24,2.900301076130967e-23,4.190951585769653e-09,4.75960382217977e-11,-1.929968448166619e-06,3.244510333730373e-21,3.244510333730373e-21,3.983902206286966e-16,3.983902206286966e-16,0.009234369732439518,14388.3134765625,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0003000000142492354,-94.96999999857508,14428.8046875,1531113025568768.0,1531632179740672.0,-4.141543812667921e-24,2.904494660703122e-23,6.752088665962219e-09,7.140155133811277e-11,-3.1093936740944628e-06,3.2536390068820414e-21,3.2536390068820414e-21,3.9937788751497473e-16,3.9937788751497473e-16,0.00926687940955162,14428.794921875,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.00039999998989515007,-94.96000000101048,14474.1279296875,1531435416551424.0,1532259110748160.0,-4.154552523425468e-24,2.9086948717068807e-23,8.847564458847046e-09,9.521205351914475e-11,-4.07437801186461e-06,3.2638590091426545e-21,3.2638590091426545e-21,4.0047363051136657e-16,4.0047363051136657e-16,0.00930330716073513,14474.1181640625,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0005000000237487257,-94.94999999762513,14521.603515625,1531758075969536.0,1532897316044800.0,-4.168179701132709e-24,2.9129023402309675e-23,1.1175870895385742e-08,1.1902756558157535e-10,-5.146582680026768e-06,3.274564697285394e-21,3.274564697285394e-21,4.01625621789412e-16,4.01625621789412e-16,0.00934149231761694,14521.59375,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0006000000284984708,-94.93999999715015,14568.9443359375,1532080466952192.0,1533516730859520.0,-4.181768619086046e-24,2.917116435186658e-23,1.3504177331924438e-08,1.4284806670872285e-10,-6.2187873481889255e-06,3.285240093169373e-21,3.285240093169373e-21,4.0276956625445856e-16,4.0276956625445856e-16,0.009379608556628227,14568.9345703125,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.000699999975040555,-94.93000000249594,14614.16796875,1532402455281664.0,1534097222533120.0,-4.1947493252814576e-24,2.921337787662677e-23,1.5366822481155396e-08,1.6667357771726898e-10,-7.076551355567062e-06,3.295437881106895e-21,3.295437881106895e-21,4.0386414458054793e-16,4.0386414458054793e-16,0.009416041895747185,14614.158203125,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0007999999797903001,-94.92000000202097,14657.33203125,1532724577828864.0,1534678116859904.0,-4.207138780228406e-24,2.9255660821146614e-23,1.792795956134796e-08,1.9050408472942593e-10,-8.25597635412123e-06,3.305171187743423e-21,3.305171187743423e-21,4.049085626742921e-16,4.049085626742921e-16,0.009450847283005714,14657.322265625,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0008999999845400453,-94.910000001546,14703.158203125,1533046297722880.0,1535307463786496.0,-4.220292246962061e-24,2.92980100299825e-23,2.0023435354232788e-08,2.143396016229815e-10,-9.220961146638729e-06,3.315504685000192e-21,3.315504685000192e-21,4.0600758792335454e-16,4.0600758792335454e-16,0.009487828239798546,14703.1484375,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0010000000474974513,-94.89999999525025,14749.90234375,1533367749181440.0,1535899498184704.0,-4.233709587668513e-24,2.9340438124908906e-23,2.2118911147117615e-08,2.3818011452014787e-10,-1.0185945029661525e-05,3.3260455832552744e-21,3.3260455832552744e-21,4.0714367086385937e-16,4.0714367086385937e-16,0.009525572881102562,14749.892578125,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0010999999940395355,-94.89000000059605,14792.6357421875,1533688797986816.0,1536431939911680.0,-4.245974797022889e-24,2.938293563959497e-23,2.444721758365631e-08,2.6202565117650067e-10,-1.1258149243076332e-05,3.335681146870202e-21,3.335681146870202e-21,4.0817448349088825e-16,4.0817448349088825e-16,0.009560107253491879,14792.626953125,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0012000000569969416,-94.8799999943003,14830.6669921875,1534009981009920.0,1536905460056064.0,-4.25689144865979e-24,2.942550888492794e-23,2.7008354663848877e-08,2.858762115920399e-10,-1.2437574696377851e-05,3.344257289222079e-21,3.344257289222079e-21,4.090891467250249e-16,4.090891467250249e-16,0.009590862318873405,14830.6572265625,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0013000000035390258,-94.8699999996461,14871.533203125,1534331164033024.0,1537516150718464.0,-4.268621415889974e-24,2.9468148394576946e-23,2.9103830456733704e-08,3.0973176801118996e-10,-1.340255948889535e-05,3.3534725982338027e-21,3.3534725982338027e-21,4.1008266343259497e-16,4.1008266343259497e-16,0.0096239373087883,14871.5234375,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.00139999995008111,-94.86000000499189,14918.7958984375,1534652212838400.0,1538136907710464.0,-4.282187062446607e-24,2.9510866790316474e-23,3.119930624961853e-08,3.335923204339508e-10,-1.4367543371918146e-05,3.3641298187625255e-21,3.3641298187625255e-21,4.112190110708958e-16,4.112190110708958e-16,0.009662212803959846,14918.7861328125,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.001500000013038516,-94.84999999869615,14965.2763671875,1534974469603328.0,1538727331495936.0,-4.2955286725061575e-24,2.955365145037204e-23,3.329478204250336e-08,3.574579243714737e-10,-1.5332527254940942e-05,3.3746113441904374e-21,3.3746113441904374e-21,4.123468619099445e-16,4.123468619099445e-16,0.009699885733425617,14965.2666015625,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0015999999595806003,-94.84000000404194,15009.341796875,1535296860585984.0,1539282187583488.0,-4.308177268260471e-24,2.959651499651813e-23,3.585591912269592e-08,3.8132852431260744e-10,-1.651195270824246e-05,3.384548012857444e-21,3.384548012857444e-21,4.134133822696561e-16,4.134133822696561e-16,0.00973562803119421,15009.33203125,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0017000000225380063,-94.8299999977462,15050.484375,1535620727963648.0,1539820400672768.0,-4.31998651601163e-24,2.96394511178675e-23,3.795139491558075e-08,4.0520412025735197e-10,-1.747693750075996e-05,3.3938255219738225e-21,3.3938255219738225e-21,4.144056813673645e-16,4.144056813673645e-16,0.009769021533429623,15050.474609375,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0017999999690800905,-94.82000000309199,15093.08984375,1535945400647680.0,1540348278996992.0,-4.332215437764366e-24,2.968246296986377e-23,4.0279701352119446e-08,4.2908476771685855e-10,-1.8549142623669468e-05,3.403432610865515e-21,3.403432610865515e-21,4.154211150524448e-16,4.154211150524448e-16,0.009803630411624908,15093.080078125,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0019000000320374966,-94.80999999679625,15130.986328125,1536271415508992.0,1540856024662016.0,-4.343092646356006e-24,2.972555055250694e-23,4.237517714500427e-08,4.5297043893555156e-10,-1.9514125597197562e-05,3.4119778551134566e-21,3.4119778551134566e-21,4.1633162253118397e-16,4.1633162253118397e-16,0.009834429249167442,15130.9765625,0.9999993443489075,9.999999747378752e-05,0.0,0.0
