case,field,kind,status,threshold,x_cm
popruzhenko,I_onaxis_max_z,intensity_onaxis,crossed_interpolated,1e+16,-56.36688406443704
popruzhenko,I_onaxis_max_z,intensity_onaxis,crossed_interpolated,3e+16,-37.87041515440546
popruzhenko,I_onaxis_max_z,intensity_onaxis,crossed_interpolated,1e+17,-19.915490567237867
popruzhenko,I_onaxis_max_z,intensity_onaxis,crossed_interpolated,3e+17,-17.21235276544668
popruzhenko,I_onaxis_max_z,intensity_onaxis,crossed_interpolated,5e+17,-15.796286143928226
popruzhenko,I_max_z,intensity_max,crossed_interpolated,1e+16,-56.36688406443704
popruzhenko,I_max_z,intensity_max,crossed_interpolated,3e+16,-37.87041515440546
popruzhenko,I_max_z,intensity_max,crossed_interpolated,1e+17,-19.915490567237867
popruzhenko,I_max_z,intensity_max,crossed_interpolated,3e+17,-17.21235276544668
popruzhenko,I_max_z,intensity_max,crossed_interpolated,5e+17,-15.796286143928226
popruzhenko,rho_max_z,rho_total,crossed_interpolated,1e+19,-19.154124255093837
popruzhenko,rho_max_z,rho_total,crossed_interpolated,1e+20,-18.403557006521662
popruzhenko,rho_max_z,rho_total,crossed_interpolated,1e+21,-17.629418668409656
popruzhenko,rho_max_z,rho_total,crossed_interpolated,1e+22,-16.5553198720171
popruzhenko,rho_N2_max_z,rho_n2,crossed_interpolated,1e+19,-16.99040926452326
popruzhenko,rho_N2_max_z,rho_n2,crossed_interpolated,1e+20,-16.36776178224554
popruzhenko,rho_N2_max_z,rho_n2,not_comparable,1e+21,
popruzhenko,rho_N2_max_z,rho_n2,not_comparable,1e+22,
popruzhenko,rho_O2_max_z,rho_o2,crossed_interpolated,1e+19,-19.15385662809817
popruzhenko,rho_O2_max_z,rho_o2,crossed_interpolated,1e+20,-18.403083788640565
popruzhenko,rho_O2_max_z,rho_o2,crossed_interpolated,1e+21,-17.62885647279219
popruzhenko,rho_O2_max_z,rho_o2,crossed_interpolated,1e+22,-16.553103468811067
popruzhenko,delta_n_plasma_min_z,delta_n_plasma_min_z,crossed_interpolated,5.441545642591168e-23,-91.47357501081292
popruzhenko,delta_n_plasma_min_z,delta_n_plasma_min_z,crossed_interpolated,2.5582519165153638e-17,-56.6809096617803
popruzhenko,delta_n_plasma_min_z,delta_n_plasma_min_z,crossed_interpolated,1.2027194657946628e-11,-21.23845324185381
popruzhenko,delta_n_plasma_min_z,delta_n_plasma_min_z,crossed_interpolated,5.654384949593805e-06,-16.262243183437878
popruzhenko,dphi_plasma_raw_max_abs_z,dphi_plasma_raw_max_abs_z,crossed_interpolated,4.274933706041976e-20,-91.47357510740903
popruzhenko,dphi_plasma_raw_max_abs_z,dphi_plasma_raw_max_abs_z,crossed_interpolated,2.0097888041002244e-14,-56.68090966720522
popruzhenko,dphi_plasma_raw_max_abs_z,dphi_plasma_raw_max_abs_z,crossed_interpolated,9.448686961806598e-09,-21.238453613185055
popruzhenko,dphi_plasma_raw_max_abs_z,dphi_plasma_raw_max_abs_z,crossed_interpolated,0.00444214263310035,-16.262243169591464
popruzhenko,dphi_plasma_applied_max_abs_z,dphi_plasma_applied_max_abs_z,crossed_interpolated,4.274933706041976e-20,-91.47357510740903
popruzhenko,dphi_plasma_applied_max_abs_z,dphi_plasma_applied_max_abs_z,crossed_interpolated,2.0097888041002244e-14,-56.68090966720522
popruzhenko,dphi_plasma_applied_max_abs_z,dphi_plasma_applied_max_abs_z,crossed_interpolated,9.448686961806598e-09,-21.238453613185055
popruzhenko,dphi_plasma_applied_max_abs_z,dphi_plasma_applied_max_abs_z,crossed_interpolated,0.00444214263310035,-16.262243169591464
popruzhenko,alpha_ion_raw_max_z,alpha_ion_raw_max_z,crossed_interpolated,5.261574803677911e-15,-91.22398293356184
popruzhenko,alpha_ion_raw_max_z,alpha_ion_raw_max_z,crossed_interpolated,3.891612341905154e-10,-56.693855490137665
popruzhenko,alpha_ion_raw_max_z,alpha_ion_raw_max_z,crossed_interpolated,2.8783486284528882e-05,-20.84388839249412
popruzhenko,alpha_ion_raw_max_z,alpha_ion_raw_max_z,crossed_interpolated,2.1289095878601074,-16.227152550215155
popruzhenko,alpha_ion_applied_max_z,alpha_ion_applied_max_z,crossed_interpolated,5.261574803677911e-15,-91.22398293356184
popruzhenko,alpha_ion_applied_max_z,alpha_ion_applied_max_z,crossed_interpolated,3.891612341905154e-10,-56.693855490137665
popruzhenko,alpha_ion_applied_max_z,alpha_ion_applied_max_z,crossed_interpolated,2.8783486284528882e-05,-20.84388839249412
popruzhenko,alpha_ion_applied_max_z,alpha_ion_applied_max_z,crossed_interpolated,2.1289095878601074,-16.227152550215155
popruzhenko,E_dep_cumulative_z,energy_deposition_normalized,crossed_interpolated,1.0000010722059313e-06,-19.01078312983076
popruzhenko,E_dep_cumulative_z,energy_deposition_normalized,crossed_interpolated,1.0000010722059314e-05,-14.25200836134755
popruzhenko,E_dep_cumulative_z,energy_deposition_normalized,not_comparable,0.00010000010722059314,
popruzhenko,E_dep_cumulative_z,energy_deposition_normalized,not_comparable,0.0010000010722059315,
popruzhenko,E_dep_cumulative_z,energy_deposition_normalized,not_comparable,0.010000010722059314,
talebpour,I_onaxis_max_z,intensity_onaxis,crossed_interpolated,1e+16,-56.36688406443704
talebpour,I_onaxis_max_z,intensity_onaxis,crossed_interpolated,3e+16,-37.87043414441722
talebpour,I_onaxis_max_z,intensity_onaxis,crossed_interpolated,1e+17,-19.91548672096387
talebpour,I_onaxis_max_z,intensity_onaxis,crossed_interpolated,3e+17,-17.225172110934626
talebpour,I_onaxis_max_z,intensity_onaxis,crossed_interpolated,5e+17,-16.01118173214129
talebpour,I_max_z,intensity_max,crossed_interpolated,1e+16,-56.36688406443704
talebpour,I_max_z,intensity_max,crossed_interpolated,3e+16,-37.87043414441722
talebpour,I_max_z,intensity_max,crossed_interpolated,1e+17,-19.91548672096387
talebpour,I_max_z,intensity_max,crossed_interpolated,3e+17,-17.225172110934626
talebpour,I_max_z,intensity_max,crossed_interpolated,5e+17,-16.01118173214129
talebpour,rho_max_z,rho_total,crossed_interpolated,1e+19,-19.19399851718201
talebpour,rho_max_z,rho_total,crossed_interpolated,1e+20,-18.327101012541323
talebpour,rho_max_z,rho_total,crossed_interpolated,1e+21,-17.29790221064008
talebpour,rho_max_z,rho_total,crossed_interpolated,1e+22,-16.411900580443586
talebpour,rho_N2_max_z,rho_n2,crossed_interpolated,1e+19,-17.466133580611487
talebpour,rho_N2_max_z,rho_n2,crossed_interpolated,1e+20,-16.763865382121267
talebpour,rho_N2_max_z,rho_n2,crossed_interpolated,1e+21,-15.996063272395723
talebpour,rho_N2_max_z,rho_n2,not_comparable,1e+22,
talebpour,rho_O2_max_z,rho_o2,crossed_interpolated,1e+19,-19.19244710560427
talebpour,rho_O2_max_z,rho_o2,crossed_interpolated,1e+20,-18.324005079997896
talebpour,rho_O2_max_z,rho_o2,crossed_interpolated,1e+21,-17.291136164986607
talebpour,rho_O2_max_z,rho_o2,crossed_interpolated,1e+22,-16.398041747784628
talebpour,delta_n_plasma_min_z,delta_n_plasma_min_z,crossed_interpolated,5.441545642591168e-23,-88.26064208673978
talebpour,delta_n_plasma_min_z,delta_n_plasma_min_z,crossed_interpolated,2.5582519165153638e-17,-49.92371620465477
talebpour,delta_n_plasma_min_z,delta_n_plasma_min_z,crossed_interpolated,1.2027194657946628e-11,-22.82529821793343
talebpour,delta_n_plasma_min_z,delta_n_plasma_min_z,crossed_interpolated,5.654384949593805e-06,-16.100222886249448
talebpour,dphi_plasma_raw_max_abs_z,dphi_plasma_raw_max_abs_z,crossed_interpolated,4.274933706041976e-20,-88.26064218801389
talebpour,dphi_plasma_raw_max_abs_z,dphi_plasma_raw_max_abs_z,crossed_interpolated,2.0097888041002244e-14,-49.92371620607296
talebpour,dphi_plasma_raw_max_abs_z,dphi_plasma_raw_max_abs_z,crossed_interpolated,9.448686961806598e-09,-22.82529828586967
talebpour,dphi_plasma_raw_max_abs_z,dphi_plasma_raw_max_abs_z,crossed_interpolated,0.00444214263310035,-16.100222881664322
talebpour,dphi_plasma_applied_max_abs_z,dphi_plasma_applied_max_abs_z,crossed_interpolated,4.274933706041976e-20,-88.26064218801389
talebpour,dphi_plasma_applied_max_abs_z,dphi_plasma_applied_max_abs_z,crossed_interpolated,2.0097888041002244e-14,-49.92371620607296
talebpour,dphi_plasma_applied_max_abs_z,dphi_plasma_applied_max_abs_z,crossed_interpolated,9.448686961806598e-09,-22.82529828586967
talebpour,dphi_plasma_applied_max_abs_z,dphi_plasma_applied_max_abs_z,crossed_interpolated,0.00444214263310035,-16.100222881664322
talebpour,alpha_ion_raw_max_z,alpha_ion_raw_max_z,crossed_interpolated,5.261574803677911e-15,-87.16660793980871
talebpour,alpha_ion_raw_max_z,alpha_ion_raw_max_z,crossed_interpolated,3.891612341905154e-10,-49.87650452215323
talebpour,alpha_ion_raw_max_z,alpha_ion_raw_max_z,crossed_interpolated,2.8783486284528882e-05,-22.897910938550975
talebpour,alpha_ion_raw_max_z,alpha_ion_raw_max_z,crossed_interpolated,2.1289095878601074,-15.869289771525258
talebpour,alpha_ion_applied_max_z,alpha_ion_applied_max_z,crossed_interpolated,5.261574803677911e-15,-87.16660793980871
talebpour,alpha_ion_applied_max_z,alpha_ion_applied_max_z,crossed_interpolated,3.891612341905154e-10,-49.87650452215323
talebpour,alpha_ion_applied_max_z,alpha_ion_applied_max_z,crossed_interpolated,2.8783486284528882e-05,-22.897910938550975
talebpour,alpha_ion_applied_max_z,alpha_ion_applied_max_z,crossed_interpolated,2.1289095878601074,-15.869289771525258
talebpour,E_dep_cumulative_z,energy_deposition_normalized,crossed_interpolated,1.0000010722059313e-06,-19.012203344799996
talebpour,E_dep_cumulative_z,energy_deposition_normalized,crossed_interpolated,1.0000010722059314e-05,-13.98374357703581
talebpour,E_dep_cumulative_z,energy_deposition_normalized,not_comparable,0.00010000010722059314,
talebpour,E_dep_cumulative_z,energy_deposition_normalized,not_comparable,0.0010000010722059315,
talebpour,E_dep_cumulative_z,energy_deposition_normalized,not_comparable,0.010000010722059314,
