IR_normalized,I_normalized,case,parameter_set,phase_ratio_nRIR_over_n2I,t_fs
7.044734346558425e-23,5.42101086242753e-20,120fs,P1_implemented,0.003831930084409481,0.0
3.169111350111245e-22,8.594969101555631e-20,120fs,P1_implemented,0.010872424797742962,2.5
8.330128114978448e-22,1.3594496241433633e-19,120fs,P1_implemented,0.018068487313926834,5.0
1.766124002874589e-21,2.1450463219768604e-19,120fs,P1_implemented,0.02427827079341772,7.5
3.3475325228107866e-21,3.376486271725567e-19,120fs,P1_implemented,0.029234323612056815,10.0
5.939210048472884e-21,5.302101756986332e-19,120fs,P1_implemented,0.033030402043985406,12.5
1.010613744647277e-20,8.305884458501221e-19,120fs,P1_implemented,0.03587835712080469,15.0
1.6727875267618962e-20,1.2980112885201853e-18,120fs,P1_implemented,0.0380010455084544,17.5
2.717024437530008e-20,2.0236053103613757e-18,120fs,P1_implemented,0.039591409871420465,20.0
4.35488408162495e-20,3.1472258401824996e-18,120fs,P1_implemented,0.040802044429480586,22.5
6.913249535470994e-20,4.882977951005986e-18,120fs,P1_implemented,0.041747522093581436,25.0
1.089594499207181e-19,7.557817053998021e-18,120fs,P1_implemented,0.04251104298610879,27.5
1.7077604237303637e-19,1.1669782019242902e-17,120fs,P1_implemented,0.04315165274947093,30.0
2.6646311311626174e-19,1.7975619629006874e-17,120fs,P1_implemented,0.04371056912270635,32.5
4.14198102143647e-19,2.762229457232574e-17,120fs,P1_implemented,0.044216217263120985,35.0
6.417240469756368e-19,4.234385483205378e-17,120fs,P1_implemented,0.04468802434133985,37.5
9.91279743641509e-19,6.47553699315637e-17,120fs,P1_implemented,0.04513918112683787,40.0
1.5270165011399578e-18,9.879067261837262e-17,120fs,P1_implemented,0.04557860418962748,42.5
2.3461275580508702e-18,1.5035256894356697e-16,120fs,P1_implemented,0.04601230620145257,45.0
3.59550658411698e-18,2.2827614007092416e-16,120fs,P1_implemented,0.04644434059567187,47.5
5.496619286427791e-18,3.457521942246996e-16,120fs,P1_implemented,0.046877446384694606,50.0
8.382543787302144e-18,5.224252104919653e-16,120fs,P1_implemented,0.047313484925919594,52.5
1.2752994346258526e-17,7.874773384505568e-16,120fs,P1_implemented,0.04775373397119304,55.0
1.9355853114044364e-17,1.1841501113081202e-15,120fs,P1_implemented,0.04819908468114792,57.49999999999999
2.9307675154461894e-17,1.7763568394002524e-15,120fs,P1_implemented,0.04865017312193573,60.0
4.427134625328967e-17,2.6583271188893376e-15,120fs,P1_implemented,0.04910746776925038,62.5
6.671733724687617e-17,3.968637100116201e-15,120fs,P1_implemented,0.04957132760381947,65.0
1.0030691853736677e-16,5.910566544026846e-15,120fs,P1_implemented,0.05004204061802355,67.5
1.5045284501605139e-16,8.781558349321698e-15,120fs,P1_implemented,0.05051984931225541,70.0
2.251376201091782e-16,1.3015738916557498e-14,120fs,P1_implemented,0.05100496757068952,72.5
3.361046415038736e-16,1.9245128824776616e-14,120fs,P1_implemented,0.05149759183601556,75.0
5.005877479460894e-16,2.8387527869716207e-14,120fs,P1_implemented,0.05199790851994633,77.5
7.438161450561385e-16,4.1772366679299685e-14,120fs,P1_implemented,0.05250609893166819,80.0
1.1026330977208236e-15,6.13204518775274e-14,120fs,P1_implemented,0.053022342571670024,82.5
1.6307102997012227e-15,8.980000657794159e-14,120fs,P1_implemented,0.053546819350338205,85.0
2.406042403233365e-15,1.3119042752725332e-13,120fs,P1_implemented,0.05407971110023893,87.5
3.541691326441593e-15,1.9119770860327527e-13,120fs,P1_implemented,0.05462120262521863,90.0
5.201150206893671e-15,2.7798283259668595e-13,120fs,P1_implemented,0.055171482446532506,92.5
7.620257170160944e-15,4.0318839728668326e-13,120fs,P1_implemented,0.05573074335153338,95.0
1.1138371277865721e-14,5.833817413434999e-13,120fs,P1_implemented,0.05629918281447955,97.5
1.624261198037589e-14,8.420781453308188e-13,120fs,P1_implemented,0.05687700333533723,100.0
2.363047524925292e-14,1.2125697139795163e-12,120fs,P1_implemented,0.057464412726858205,102.5
3.4298232722331354e-14,1.741870220391457e-12,120fs,P1_implemented,0.058061624369991884,105.0
4.966541013579586e-14,2.496201437370547e-12,120fs,P1_implemented,0.05866885745091414,107.5
7.174962025292325e-14,3.568602870178129e-12,120fs,P1_implemented,0.05928633718857347,110.0
1.0341148851280386e-13,5.0894584002464904e-12,120fs,P1_implemented,0.059914295058699454,112.5
1.4869688928502098e-13,7.24101878836777e-12,120fs,P1_implemented,0.06055296901834215,114.99999999999999
2.1331392266054208e-13,1.0277382890392816e-11,120fs,P1_implemented,0.06120260373373434,117.5
3.0529596510348026e-13,1.4551915228366858e-11,120fs,P1_implemented,0.06186345081346606,120.0
4.359210029804038e-13,2.05547657807856e-11,120fs,P1_implemented,0.06253576904841379,122.50000000000001
6.209830117608029e-13,2.8964075153470983e-11,120fs,P1_implemented,0.06321982465953427,125.0
8.825456400730275e-13,4.0715667201971865e-11,120fs,P1_implemented,0.06391589155439588,127.50000000000001
1.2513548937775212e-12,5.7097645922850286e-11,120fs,P1_implemented,0.0646242515932016,130.0
1.7701498447413717e-12,7.987844599585711e-11,120fs,P1_implemented,0.06534519486495632,132.5
2.498193812232839e-12,1.114796941050537e-10,120fs,P1_implemented,0.06607901997439321,135.0
3.5174597993826374e-12,1.552089233893768e-10,120fs,P1_implemented,0.06682603434026091,137.5
4.941052122658838e-12,2.1557200520469207e-10,120fs,P1_implemented,0.06758655450553797,140.0
6.9246427553266815e-12,2.986914515678727e-10,120fs,P1_implemented,0.06836090646019596,142.5
9.681960987486727e-12,4.1286491882156547e-10,120fs,P1_implemented,0.0691494259770899,145.0
1.3505718091794401e-11,5.693088411580144e-10,120fs,P1_implemented,0.06995245896162955,147.5
1.8795799939608705e-11,7.831458144390163e-10,120fs,P1_implemented,0.07077036181587325,150.0
2.609715229354056e-11,1.0747119823032625e-09,120fs,P1_implemented,0.0716035018177309,152.5
3.615055727527499e-11,1.4712833077729864e-09,120fs,P1_implemented,0.07245225751599925,155.0
4.996050823466857e-11,2.009348567122817e-09,120fs,P1_implemented,0.07331701914197225,157.5
6.888570134523756e-11,2.7375938226945685e-09,120fs,P1_implemented,0.07419818903842866,160.0
9.475936124779562e-11,3.7208100529394286e-09,120fs,P1_implemented,0.07509618210681922,162.5
1.3004881308128284e-10,5.0449950506422494e-09,120fs,P1_implemented,0.0760114262735354,165.0
1.7806654049332685e-10,6.8239957250841204e-09,120fs,P1_implemented,0.07694436297618164,167.5
2.432485997158899e-10,9.2081313276983e-09,120fs,P1_implemented,0.07789544767081903,170.0
3.315209074341477e-10,1.2395356448939078e-08,120fs,P1_implemented,0.07886515036120666,172.5
4.5077985158994683e-10,1.6645670463565696e-08,120fs,P1_implemented,0.07985395615112728,175.0
6.115212205506134e-10,2.229966413613229e-08,120fs,P1_implemented,0.0808623658209165,177.5
8.276610169067455e-10,2.98023223876953e-08,120fs,P1_implemented,0.08189089642942433,180.0
1.1176038225066687e-09,3.9733484387680486e-08,120fs,P1_implemented,0.08294008194264946,182.5
