case_id,profile_id,window_id,kind,Nx,Ny,Lx_m,Ly_m,x_vac_fft_imax_cm,x_vac_fft_onaxis_cm,x_vac_fresnel_onaxis_cm,fft_imax_minus_onaxis_cm,fft_imax_minus_fresnel_cm,fft_onaxis_minus_fresnel_cm,axial_fwhm_imax_cm,axial_fwhm_onaxis_cm,prefocus_sidelobe_max_ratio_imax,prefocus_sidelobe_max_ratio_onaxis,power_drift,boundary_power_fraction,input_power_W,input_second_moment_radius_m,p6_nominal_radius_scale
P1_current_ft90__8mm_512,P1_current_ft90,8mm_512,window,512,512,0.008,0.008,-4.449645969577388,-4.449645969577388,-4.468450699187865,0.0,0.01880472961047719,0.01880472961047719,31.92826859795715,31.92826859795715,0.49844436556658495,0.49844436556658495,6.169886719198788e-07,1.1617636570968715e-07,17000000000.0,0.0018825141432040635,1.0
P2_zero_at_90_narrow__8mm_512,P2_zero_at_90_narrow,8mm_512,window,512,512,0.008,0.008,-6.510105363942187,-6.510105363942187,-6.5577833271248664,0.0,0.047677963182679584,0.047677963182679584,nan,nan,0.0,0.0,6.801499553007241e-07,1.334981624441998e-07,16999999999.999992,0.0016849032457543936,1.0
P3_zero_at_90_wide__8mm_512,P3_zero_at_90_wide,8mm_512,window,512,512,0.008,0.008,-7.251699999954053,-7.251699999954053,-7.222312346623272,0.0,-0.029387653330781305,-0.029387653330781305,nan,nan,0.0,0.0,6.801499560861024e-07,3.3685332292956655e-08,17000000000.000006,0.001594852878761316,1.0
P4_hard_top_R__8mm_512,P4_hard_top_R,8mm_512,window,512,512,0.008,0.008,-3.9087560386330433,-3.9087560386330433,-3.961268872235768,0.0,0.05251283360272474,0.05251283360272474,30.174696840478177,30.174696840478177,0.4996875126570542,0.4996875126570542,8.064725231843837e-07,1.750333291135813e-05,16999999999.999998,0.0019791641334559688,1.0
P5_hard_top_0p9R__8mm_512,P5_hard_top_0p9R,8mm_512,window,512,512,0.008,0.008,-5.772577029953963,-5.772577029953963,-5.777061556665386,0.0,0.004484526711422632,0.004484526711422632,35.7049695781193,35.7049695781193,0.49766265987591063,0.49766265987591063,6.16988671695485e-07,6.785489315135275e-05,16999999999.999996,0.001780047636986166,1.0
P6_P2_second_moment_matched__8mm_512,P6_P2_second_moment_matched,8mm_512,window,512,512,0.008,0.008,-4.371547202762615,-4.371547202762615,-4.43211488200993,0.0,0.0605676792473151,0.0605676792473151,31.815707810521985,31.815707810521985,0.4989622604930359,0.4989622604930359,6.80149955412921e-07,9.039520840190313e-08,16999999999.999994,0.0018825141432040628,1.1172834041640693
P1_current_ft90__10mm_640,P1_current_ft90,10mm_640,window,640,640,0.01,0.01,-4.4679054053995415,-4.4679054053995415,-4.468450699187865,0.0,0.0005452937883232423,0.0005452937883232423,31.929022197329132,31.929022197329132,0.4984618237865179,0.4984618237865179,4.2750482065537395e-07,3.899518292873007e-08,17000000000.0,0.0018825141432040635,1.0
P2_zero_at_90_narrow__10mm_640,P2_zero_at_90_narrow,10mm_640,window,640,640,0.01,0.01,-6.559166666731686,-6.559166666731686,-6.5577833271248664,0.0,-0.001383339606819689,-0.001383339606819689,nan,nan,0.0,0.0,4.906661040362191e-07,4.739912126956349e-08,16999999999.999994,0.0016849032457543936,1.0
P3_zero_at_90_wide__10mm_640,P3_zero_at_90_wide,10mm_640,window,640,640,0.01,0.01,-7.229605263180883,-7.229605263180883,-7.222312346623272,0.0,-0.0072929165576107735,-0.0072929165576107735,nan,nan,0.0,0.0,4.906661045972037e-07,1.3981300152819879e-08,17000000000.000004,0.0015948528787613164,1.0
P4_hard_top_R__10mm_640,P4_hard_top_R,10mm_640,window,640,640,0.01,0.01,-3.9322761194455658,-3.9322761194455658,-3.961268872235768,0.0,0.028992752790202303,0.028992752790202303,30.17358936188976,30.17358936188976,0.4996898210352285,0.4996898210352285,4.2750482054317703e-07,1.6210055894097922e-05,16999999999.999998,0.0019791641334559688,1.0
P5_hard_top_0p9R__10mm_640,P5_hard_top_0p9R,10mm_640,window,640,640,0.01,0.01,-4.246376665295304,-4.246376665295304,-5.777061556665386,0.0,1.5306848913700817,1.5306848913700817,35.64403886676776,35.64403886676776,0.49793884245400977,0.49793884245400977,3.643435363769533e-07,3.7011601253954605e-05,16999999999.999992,0.0017800476369861662,1.0
