profile_id,low_window,high_window,x_fft_onaxis_low_cm,x_fft_onaxis_high_cm,absolute_focus_change_cm,delta_vs_P1_low_cm,delta_vs_P1_high_cm,differential_focus_change_cm,absolute_ok,differential_ok
P1_current_ft90,10mm_640,12mm_768,-4.4679054053995415,-4.468382352934075,-0.00047694753453342287,0.0,0.0,0.0,True,True
P2_zero_at_90_narrow,10mm_640,12mm_768,-6.559166666731686,-6.558152173976028,0.0010144927556581251,-2.0912612613321446,-2.089769821041953,0.001491440290191548,True,True
P3_zero_at_90_wide,10mm_640,12mm_768,-7.229605263180883,-7.224264705900129,0.005340557280753444,-2.761699857781341,-2.7558823529660543,0.005817504815286867,True,True
P4_hard_top_R,10mm_640,12mm_768,-3.9322761194455658,-3.965217391298581,-0.03294127185301532,0.5356292859539757,0.5031649616354938,-0.032464324318481896,True,True
P5_hard_top_0p9R,10mm_640,12mm_768,-4.246376665295304,-5.73091317366975,-1.484536508374446,0.22152874010423762,-1.262530820735675,-1.4840595608399125,False,False
P6_P2_second_moment_matched,10mm_640,12mm_768,-4.4237499999590035,-4.429573170664536,-0.005823170705532732,0.044155405440537976,0.03880918226953867,-0.005346223170999309,True,True
P1_current_ft90,12mm_768,14mm_896,-4.468382352934075,-4.468910256402491,-0.0005279034684164685,0.0,0.0,0.0,True,True
P2_zero_at_90_narrow,12mm_768,14mm_896,-6.558152173976028,-6.557954545517841,0.00019762845818682706,-2.089769821041953,-2.08904428911535,0.0007255319266032956,True,True
P3_zero_at_90_wide,12mm_768,14mm_896,-7.224264705900129,-7.222727272742135,0.0015374331579938172,-2.7558823529660543,-2.753817016339644,0.0020653366264102857,True,True
P4_hard_top_R,12mm_768,14mm_896,-3.965217391298581,-3.9814814816108712,-0.016264090312290147,0.5031649616354938,0.48742877479162017,-0.01573618684387368,True,True
P5_hard_top_0p9R,12mm_768,14mm_896,-5.73091317366975,-5.8027484940261775,-0.0718353203564277,-1.262530820735675,-1.3338382376236861,-0.07130741688801123,True,True
P6_P2_second_moment_matched,12mm_768,14mm_896,-4.429573170664536,-4.43092105255899,-0.001347881894453451,0.03880918226953867,0.037989203843501684,-0.0008199784260369825,True,True
